107;2,3-Dimethylbutane;C6H14;79-29-8;86.175;7.2565;221.4;-2.7946;;;220.00;1.103E-03;331.13;2.509E-04
108;1,1-Dimethylcyclohexane;C8H16;590-66-9;112.213;-10.716;1140.5;-0.047736;;;239.66;1.992E-03;392.70;3.045E-04
109;cis-1,2-Dimethylcyclohexane;C8H16;2207-01-4;112.213;-11.796;1463.5;;;;223.16;5.310E-03;484.92;1.540E-04
110;trans-1,2-Dimethylcyclohexane;C8H16;6876-23-9;112.213;-11.344;1168.9;0.04513;;;184.99;8.315E-03;396.58;2.956E-04
111;Dimethyl disulfide;C2H6S2;624-92-0;94.199;-10.577;1172.6;-0.14244;;;188.44;6.093E-03;382.90;2.336E-04
112;Dimethyl ether;C2H6O;115-10-6;46.068;-10.62;448.99;0.000083967;;;131.65;7.398E-04;248.31;1.490E-04
113;N,N-Dimethyl formamide;C3H7NO;68-12-2;73.094;-20.425;1515.5;1.4444;;;240.00;2.041E-03;425.15;2.981E-04
114;2,3-Dimethylpentane;C7H16;565-59-3;100.202;-12.08;1112.2;0.09654;;;160.00;9.669E-03;362.93;2.147E-04
115;Dimethyl phthalate;C10H10O4;131-11-3;194.184;16.961;-423.16;-3.8178;1.362E+15;-6;274.18;6.030E-02;612.80;2.730E-04
116;Dimethylsilane;C2H8Si;1111-74-6;60.170
117;Dimethyl sulfide;C2H6S;75-18-3;62.134;-17.641;1067.5;1.0317;;;225.00;6.696E-04;310.48;2.528E-04
118;Dimethyl sulfoxide;C2H6OS;67-68-5;78.133;-37.347;2835;3.7937;;;291.67;2.253E-03;464.00;3.547E-04
119;Dimethyl terephthalate;C10H10O4;120-61-6;194.184;-11.488;1922.6;;;;413.80;1.068E-03;561.15;3.154E-04
120;1,4-Dioxane;C4H8O2;123-91-1;88.105;-46.166;3086.2;5.104;;;284.95;1.525E-03;374.65;4.610E-04
121;Diphenyl ether;C12H10O;101-84-8;170.207;-12.373;2017.5;;;;293.15;4.120E-03;613.44;1.130E-04
122;Dipropyl amine;C6H15N;142-84-7;101.190;-15.404;1390;0.5564;;;260.00;9.454E-04;382.35;2.118E-04
123;Dodecane;C12H26;112-40-3;170.335;-7.8244;1191.9;-0.49963;3.9572E+23;-10;262.15;3.020E-03;526.40;1.680E-04
124;Eicosane;C20H42;112-95-8;282.547;-18.315;2283.5;0.95485;;;309.58;4.243E-03;616.93;2.078E-04
125;Ethane;C2H6;74-84-0;30.069;-7.0046;276.38;-0.6087;-3.1108E-18;7;90.35;1.247E-03;300.00;3.587E-05
126;Ethanol;C2H6O;64-17-5;46.068;7.875;781.98;-3.0418;;;200.00;1.315E-02;440.00;1.416E-04
127;Ethyl acetate;C4H8O2;141-78-6;88.105;14.354;-154.6;-3.7887;;;220.00;1.132E-03;473.15;9.061E-05
128;Ethyl amine;C2H7N;75-04-7;45.084;19.822;-0.12598;-4.9793;;;192.15;1.727E-03;289.73;2.236E-04
129;Ethylbenzene;C8H10;100-41-4;106.165;-13.563;1208.6;0.377;;;178.20;8.012E-03;413.10;2.326E-04
130;Ethyl benzoate;C9H10O2;93-89-0;150.175;-40.706;3035;4.2655;;;250.00;6.643E-03;486.55;3.109E-04
