261;160.320;681;2.31;0.571;0.233;0.5260
262;124.223;598.05;2.61;0.497;0.261;0.4710
263;254.494;747;1.27;1.19;0.243;0.8114
264;128.212;638.9;2.96;0.488;0.272;0.4636
265;114.229;568.7;2.49;0.486;0.256;0.3996
266;144.211;694.26;2.779;0.523;0.252;0.7706
267;130.228;652.3;2.783;0.509;0.261;0.5697
268;130.228;629.8;2.749;0.512;0.269;0.5807
269;128.212;632.7;2.64;0.497;0.249;0.4549
270;128.212;627.7;2.704;0.497;0.257;0.4406
271;112.213;566.9;2.663;0.464;0.262;0.3921
272;146.294;667.3;2.52;0.518;0.235;0.4497
273;110.197;574;2.88;0.442;0.267;0.4233
274;90.035;804;7.02;0.205;0.215;0.9176
275;31.999;154.58;5.043;0.0734;0.288;0.0222
276;47.998;261;5.57;0.089;0.228;0.2119
277;212.415;708;1.48;0.969;0.244;0.6863
278;86.132;566.1;3.97;0.313;0.264;0.3472
279;72.149;469.7;3.37;0.313;0.27;0.2515
280;102.132;639.16;3.63;0.35;0.239;0.7052
281;88.148;588.1;3.897;0.326;0.258;0.5748
282;88.148;561;3.7;0.326;0.259;0.5549
283;86.132;561.08;3.694;0.301;0.238;0.3433
284;86.132;560.95;3.74;0.336;0.269;0.3448
285;70.133;464.8;3.56;0.293;0.27;0.2372
286;104.214;584.3;3.536;0.385;0.28;0.2685
287;104.214;598;3.47;0.359;0.251;0.3207
288;68.117;481.2;4.17;0.277;0.289;0.2899
289;68.117;519;4.03;0.276;0.258;0.1752
290;178.229;869;2.9;0.554;0.222;0.4707
291;94.111;694.25;6.13;0.229;0.243;0.4435
292;119.121;653;4.06;0.37;0.277;0.4123
293;148.116;791;4.72;0.421;0.302;0.7025
294;40.064;394;5.25;0.165;0.264;0.1041
295;44.096;369.83;4.248;0.2;0.276;0.1523
296;60.095;536.8;5.169;0.219;0.254;0.6209
297;60.095;508.3;4.765;0.222;0.25;0.6544
298;122.207;636;3.12;0.437;0.258;0.3420
299;58.079;504.4;4.92;0.204;0.239;0.2559
300;74.079;600.81;4.668;0.235;0.22;0.5796
301;55.079;564.4;4.18;0.229;0.204;0.3243
302;102.132;549.73;3.36;0.345;0.254;0.3889
303;59.110;496.95;4.74;0.26;0.298;0.2798
304;120.192;638.35;3.2;0.44;0.265;0.3444
305;42.080;364.85;4.6;0.185;0.281;0.1376
306;88.105;538;4.02;0.285;0.256;0.3088
307;76.161;517;4.75;0.254;0.281;0.2138
308;76.161;536.6;4.63;0.254;0.264;0.2318
309;76.094;626;6.1;0.239;0.28;1.1065
310;108.095;683;5.96;0.291;0.305;0.4945
311;104.079;259;3.72;0.202;0.349;0.3858
312;104.149;636;3.84;0.352;0.256;0.2971
313;118.088;806;4.71;0.317;0.223;0.9922
314;64.064;430.75;7.884;0.122;0.269;0.2454
315;146.055;318.69;3.76;0.19852;0.282;0.2151
316;80.063;490.85;8.21;0.127;0.255;0.4240
317;166.131;1113;3.95;0.424;0.181;1.0591
318;230.304;857;2.99;0.731;0.307;0.5513
319;198.388;693;1.57;0.897;0.244;0.6430
320;72.106;540.15;5.19;0.224;0.259;0.2254
321;132.202;720;3.65;0.408;0.249;0.3353
322;88.171;631.95;5.16;0.249;0.245;0.1996
323;114.229;568;2.87;0.461;0.28;0.2450
324;84.140;579.35;5.69;0.219;0.259;0.1970
325;92.138;591.75;4.108;0.316;0.264;0.2640
326;133.404;602;4.48;0.281;0.252;0.2591
327;184.361;675;1.68;0.826;0.247;0.6174
328;101.190;535.15;3.04;0.39;0.266;0.3162
329;59.110;433.25;4.07;0.254;0.287;0.2062
330;120.192;664.5;3.454;0.414;0.259;0.3666
331;120.192;649.1;3.232;0.43;0.258;0.3787
332;114.229;543.8;2.57;0.468;0.266;0.3035
333;114.229;573.5;2.82;0.455;0.269;0.2903
334;213.105;846;3.39;0.479;0.231;0.8623
335;227.131;828;3.04;0.572;0.253;0.8972
336;156.308;639;1.95;0.685;0.252;0.5303
337;172.308;703.9;2.119;0.715;0.259;0.6236
338;86.089;519.13;3.958;0.27;0.248;0.3513
339;52.075;454;4.86;0.205;0.264;0.1069
340;62.498;432;5.67;0.179;0.283;0.1001
341;161.490;543.15;3.06;0.408;0.276;0.2815
342;18.015;647.096;22.064;0.0559472;0.229;0.3449
343;106.165;617;3.541;0.375;0.259;0.3265
344;106.165;630.3;3.732;0.37;0.264;0.3101
345;106.165;616.2;3.511;0.378;0.259;0.3218
